Student_Name,Hours_Studied,Attendance,Parental_Involvement,Parental_Education_Level,Access_to_Resources,Extracurricular_Activities,Sleep_Hours,Previous_Scores,Motivation_Level,Internet_Access,Tutoring_Sessions,Family_Income,Teacher_Quality,School_Type,Peer_Influence,Physical_Activity,Learning_Disabilities,Distance_from_Home,Gender,Exam_Score
Rakib Ali,17,99.2,Medium,High School,High,Yes,8,81.4,Medium,Yes,3,Low,Low,Public,Neutral,5,Yes,Far,Male,98.2
Sadia Jahan,18,91.7,Medium,College,High,Yes,9,85.1,High,Yes,1,Low,Medium,Private,Negative,1,No,Moderate,Female,88.1
Sabuj Ahmed,32,91.4,Low,Postgraduate,High,Yes,7,60.2,Low,No,0,Low,Medium,Private,Negative,2,No,Far,Male,100.0
Mahmud Ahmed,11,79.4,Medium,Postgraduate,Medium,Yes,6,69.7,Medium,Yes,0,Medium,High,Public,Neutral,5,No,Near,Male,74.4
Tasnim Siddique,20,80.1,Medium,College,Low,Yes,5,54.2,High,No,0,High,Medium,Public,Negative,2,No,Far,Female,76.9
Sabuj Khan,6,72.3,High,High School,Low,No,7,87.5,Medium,Yes,1,High,Low,Public,Neutral,3,Yes,Far,Female,70.4
Mahmud Mia,35,76.5,High,Postgraduate,Low,No,8,73.4,Medium,Yes,0,Medium,High,Public,Negative,2,No,Far,Female,89.2
Farhana Islam,24,82.1,High,College,Medium,No,7,67.9,Medium,No,0,Low,Low,Private,Neutral,4,No,Moderate,Male,82.6
Rakib Ali,11,77.7,Low,College,Medium,Yes,7,48.7,High,No,4,High,High,Public,Positive,5,No,Moderate,Male,72.0
Rakib Chowdhury,25,78.0,High,College,Low,No,8,90.4,High,Yes,4,Medium,Low,Public,Neutral,5,No,Far,Female,98.0
Sajib Siddique,7,64.2,High,High School,Low,No,8,81.4,High,Yes,0,High,High,Public,Positive,2,Yes,Moderate,Male,55.7
Anika Chowdhury,33,100.0,Low,Postgraduate,Low,No,6,82.9,High,Yes,1,Low,High,Private,Neutral,6,No,Near,Male,100.0
Sadia Khan,11,71.5,High,College,Medium,Yes,5,56.3,High,No,4,Medium,High,Private,Negative,5,No,Moderate,Female,70.1
Sabuj Hasan,4,91.0,High,College,Low,Yes,5,59.0,Medium,Yes,1,High,Low,Private,Positive,2,No,Near,Female,60.2
Sumaiya Mia,18,100.0,High,College,High,No,8,78.1,Medium,No,1,High,High,Private,Neutral,2,No,Far,Male,99.5
Mahmud Siddique,10,88.0,Medium,College,Medium,Yes,8,67.5,Low,Yes,1,High,Medium,Public,Negative,2,No,Near,Female,71.2
Arafat Islam,7,84.9,High,College,Medium,Yes,8,77.7,High,No,3,High,High,Private,Positive,3,Yes,Far,Female,87.3
Farhana Islam,22,77.3,Medium,Postgraduate,Low,No,9,77.8,High,No,0,High,Medium,Public,Positive,4,No,Near,Male,80.0
Tasnim Hossain,19,67.9,High,College,High,Yes,9,73.8,Low,Yes,3,Low,Low,Private,Neutral,7,Yes,Far,Male,84.9
Lamia Ahmed,5,97.1,High,High School,Medium,No,6,61.3,High,No,2,Medium,Low,Private,Neutral,1,No,Moderate,Female,69.8
Nahid Mia,21,53.0,Medium,Postgraduate,High,Yes,7,100.0,Medium,Yes,3,High,Low,Private,Positive,4,No,Far,Male,87.6
Arafat Islam,19,85.4,High,High School,Medium,No,9,81.3,Medium,Yes,1,High,Low,Private,Neutral,6,No,Far,Male,87.9
Sadia Akter,29,79.5,Medium,College,Low,Yes,8,72.1,Medium,Yes,1,Medium,High,Public,Neutral,7,No,Near,Male,93.7
Sumaiya Bhuiyan,25,84.3,Medium,High School,High,No,6,73.7,Medium,Yes,2,High,High,Public,Negative,4,No,Near,Male,96.1
Rafi Khan,27,95.2,Medium,College,High,No,5,68.3,High,No,1,Medium,Low,Private,Positive,3,No,Far,Female,97.5
Rakib Chowdhury,14,92.3,High,College,High,No,7,87.3,High,No,0,High,Low,Public,Positive,7,No,Moderate,Female,91.9
Nusrat Ahmed,24,90.6,High,Postgraduate,Medium,Yes,5,79.9,Medium,No,2,High,High,Public,Positive,7,No,Moderate,Male,94.8
Arafat Shaikh,29,90.5,Medium,High School,High,Yes,9,78.9,Low,No,0,Medium,High,Private,Neutral,1,No,Near,Male,100.0
Tanzim Hasan,13,81.7,High,High School,High,Yes,7,51.0,High,No,0,High,Low,Public,Negative,3,No,Near,Male,65.3
Rakib Akter,13,78.3,Low,Postgraduate,Medium,Yes,7,47.5,Medium,Yes,0,Medium,Medium,Private,Neutral,1,No,Moderate,Female,63.1
Tanvir Ali,31,82.0,Medium,High School,Medium,No,9,71.5,Low,Yes,0,High,Medium,Public,Positive,7,Yes,Near,Male,92.3
Sumaiya Jahan,7,72.8,High,Postgraduate,Low,Yes,8,63.2,Medium,Yes,3,Low,High,Private,Negative,2,No,Moderate,Male,59.6
Sabuj Alam,18,90.4,Low,Postgraduate,Medium,Yes,9,70.1,Medium,No,1,Medium,Low,Private,Neutral,2,Yes,Moderate,Male,84.8
Sabuj Chowdhury,25,67.1,High,College,Low,No,5,74.8,High,No,1,Low,High,Private,Neutral,7,No,Moderate,Female,85.4
Rakib Bhuiyan,13,86.0,Medium,Postgraduate,Low,Yes,8,74.1,Low,No,1,High,High,Public,Neutral,1,Yes,Near,Female,79.4
Rakib Mia,34,96.9,Low,High School,Low,No,5,76.9,Low,Yes,0,High,Low,Public,Neutral,1,No,Moderate,Female,97.1
Sajib Shaikh,26,88.7,Medium,Postgraduate,Low,No,6,77.3,Medium,Yes,1,High,Low,Public,Positive,4,No,Near,Male,94.4
Sabuj Khan,23,75.9,High,High School,Low,Yes,9,73.6,High,Yes,0,Medium,High,Public,Negative,1,No,Moderate,Male,76.3
Nusrat Hossain,22,70.6,Medium,Postgraduate,High,No,7,65.2,Low,No,0,Medium,Low,Public,Neutral,7,No,Far,Male,79.3
Mahmud Bhuiyan,17,83.9,Low,Postgraduate,Low,Yes,8,85.6,Medium,No,1,Low,Low,Public,Neutral,2,No,Far,Male,76.6
Lamia Shaikh,17,72.7,Low,High School,High,No,9,84.2,High,Yes,1,Low,Medium,Public,Negative,3,No,Near,Male,84.1
Sumaiya Mia,22,84.3,Medium,Postgraduate,Low,No,9,85.9,Low,No,1,Low,Low,Private,Positive,2,No,Far,Male,85.2
Fahim Hasan,19,100.0,Low,Postgraduate,Medium,Yes,9,96.0,Medium,Yes,2,Low,Medium,Public,Positive,5,No,Far,Female,92.8
Farhana Khan,27,96.8,High,Postgraduate,Low,Yes,5,75.2,Medium,No,0,Medium,Low,Public,Negative,6,No,Near,Male,91.5
Tasnim Ahmed,21,78.6,Low,College,Medium,Yes,8,67.9,Medium,Yes,1,High,High,Private,Negative,5,No,Near,Male,83.7
Nusrat Hossain,20,89.2,Low,Postgraduate,Medium,Yes,5,53.8,High,No,0,Low,High,Private,Neutral,2,No,Moderate,Male,73.3
Sumaiya Ali,8,65.0,Low,College,Low,No,7,91.3,Low,Yes,3,Low,Medium,Private,Negative,2,Yes,Near,Female,66.9
Rakib Mia,24,68.3,Low,Postgraduate,Medium,Yes,8,88.5,Medium,Yes,0,Medium,Low,Private,Negative,4,No,Near,Female,84.4
Mehedi Bhuiyan,27,100.0,Medium,High School,Medium,Yes,8,63.6,High,Yes,2,Medium,Low,Public,Positive,3,Yes,Near,Female,96.9
Sabuj Mia,13,95.5,Medium,Postgraduate,Low,Yes,5,57.3,Low,Yes,2,High,Medium,Private,Positive,4,No,Moderate,Male,78.7
Laboni Shaikh,21,80.2,Medium,Postgraduate,Medium,No,6,61.7,Medium,Yes,0,Low,High,Public,Neutral,2,No,Far,Female,74.1
Tasnim Ahmed,20,70.0,Low,Postgraduate,Low,No,6,84.4,Low,Yes,0,Medium,Medium,Private,Negative,7,Yes,Near,Female,73.5
Tasnim Akter,7,68.4,Medium,Postgraduate,High,No,5,70.9,Low,Yes,1,Medium,High,Public,Neutral,5,Yes,Moderate,Male,58.1
Sajib Mia,39,91.4,Low,Postgraduate,High,No,6,73.7,Medium,No,4,High,Low,Public,Neutral,6,No,Moderate,Female,100.0
Arif Mia,36,84.6,Low,Postgraduate,High,Yes,7,88.8,Low,No,2,High,Low,Private,Negative,3,No,Far,Male,100.0
Tanvir Siddique,23,82.2,High,College,Medium,No,8,83.4,Low,No,0,High,Low,Private,Neutral,5,No,Moderate,Female,89.7
Tasnim Bhuiyan,27,73.1,High,Postgraduate,Low,No,7,43.7,Low,Yes,1,Medium,Medium,Public,Negative,1,No,Near,Male,73.1
Sadia Khan,21,82.6,Low,High School,High,Yes,7,76.4,High,No,2,Medium,Low,Private,Neutral,2,Yes,Moderate,Male,94.5
Arafat Shaikh,2,70.8,Low,Postgraduate,High,No,9,68.5,Medium,No,0,High,Medium,Private,Positive,2,Yes,Moderate,Female,57.8
Anika Islam,19,62.3,Medium,High School,Medium,No,9,71.5,Medium,No,0,Medium,Medium,Public,Negative,3,No,Far,Male,77.5
Mehedi Islam,24,82.6,High,Postgraduate,High,Yes,7,71.1,Low,No,0,High,Low,Public,Negative,2,No,Moderate,Female,85.7
Mahmud Siddique,16,78.2,High,High School,High,No,8,91.9,Medium,Yes,1,High,Medium,Public,Neutral,4,No,Near,Male,89.1
Sadia Khan,22,77.6,Medium,High School,Low,No,7,55.8,High,No,2,Medium,High,Private,Positive,6,No,Far,Female,86.7
Nusrat Mia,13,66.9,Medium,High School,Low,Yes,5,70.7,High,No,1,High,High,Public,Neutral,3,No,Moderate,Female,71.5
Tanzim Hasan,22,89.4,High,High School,High,Yes,9,58.8,High,Yes,4,High,Low,Private,Negative,4,Yes,Far,Male,94.1
Mahmud Khan,7,84.2,Medium,Postgraduate,High,Yes,7,100.0,High,No,0,Medium,Low,Private,Neutral,3,Yes,Moderate,Male,83.4
Tasnim Ahmed,26,74.6,Medium,Postgraduate,Low,No,8,100.0,Low,No,1,Medium,High,Private,Positive,2,No,Far,Female,86.7
Lamia Hasan,8,78.8,Low,High School,Low,No,8,68.0,Medium,Yes,4,Low,Medium,Private,Negative,2,Yes,Far,Female,69.7
Arif Khan,20,86.0,High,Postgraduate,Low,No,6,68.1,Low,Yes,1,Medium,Low,Private,Neutral,1,No,Moderate,Female,71.6
Sabuj Islam,21,74.1,Medium,College,High,No,5,80.0,High,No,2,Low,Medium,Public,Positive,1,Yes,Far,Male,91.4
Tanvir Khan,19,67.1,Low,Postgraduate,High,No,7,60.5,Medium,No,2,High,High,Private,Positive,5,Yes,Far,Male,82.8
Lamia Shaikh,12,87.7,Medium,High School,High,Yes,8,94.8,Low,No,1,Low,Low,Private,Neutral,6,No,Moderate,Female,88.7
Tasnim Shaikh,24,79.5,Medium,College,High,Yes,7,82.8,High,Yes,0,High,Low,Public,Positive,7,No,Far,Female,89.1
Anika Ahmed,27,76.6,High,Postgraduate,High,Yes,8,67.4,Medium,Yes,1,High,Low,Private,Negative,3,No,Moderate,Female,90.8
Mehedi Hossain,19,76.2,Low,High School,High,No,7,62.9,Low,Yes,0,Low,Low,Public,Neutral,3,No,Near,Female,78.8
Tasnim Islam,25,79.8,Medium,Postgraduate,High,Yes,7,64.9,Medium,Yes,1,Low,Low,Private,Negative,2,No,Far,Male,93.2
Mahmud Islam,21,83.8,Low,College,High,No,8,75.4,Low,Yes,1,Low,Low,Public,Neutral,1,No,Near,Male,91.2
Tanvir Shaikh,14,91.5,Low,College,High,Yes,6,46.4,Low,Yes,2,Low,Low,Public,Positive,7,No,Near,Male,79.4
Tanvir Hasan,14,74.8,Medium,College,Low,Yes,6,52.6,High,Yes,0,High,High,Public,Positive,3,No,Far,Male,65.9
Mehedi Alam,16,90.2,High,High School,High,Yes,8,75.5,Low,No,1,High,Low,Private,Neutral,4,No,Near,Female,88.2
Mahmud Siddique,24,100.0,Low,College,Low,Yes,5,62.7,Medium,No,1,Medium,Low,Private,Negative,3,No,Far,Male,90.0
Fahim Hossain,18,93.1,Medium,College,Medium,No,6,72.2,High,Yes,1,High,High,Private,Positive,7,Yes,Moderate,Female,96.2
Arafat Alam,23,66.1,Medium,Postgraduate,Medium,Yes,8,66.3,Low,No,3,Medium,Low,Private,Positive,4,No,Near,Male,76.2
Lamia Hossain,2,84.4,High,High School,Low,No,7,80.1,Medium,Yes,1,Low,Low,Private,Negative,7,Yes,Far,Female,63.4
Lamia Hasan,28,90.9,Medium,Postgraduate,Medium,No,8,60.7,Medium,Yes,3,Medium,Medium,Private,Neutral,4,No,Near,Female,95.5
Farhana Akter,5,85.8,Low,High School,Low,Yes,9,66.9,High,Yes,0,Medium,Low,Public,Neutral,5,No,Near,Female,61.9
Nusrat Bhuiyan,25,51.3,Low,Postgraduate,High,No,9,63.8,Medium,No,1,High,Medium,Public,Neutral,5,No,Far,Female,72.1
Sabuj Bhuiyan,25,68.2,Low,College,Low,No,6,83.3,Medium,No,1,Low,Medium,Private,Neutral,4,No,Near,Female,83.6
Sumaiya Islam,11,67.6,Medium,Postgraduate,Medium,No,8,86.1,Medium,No,0,High,Low,Private,Positive,3,No,Far,Male,71.6
Fahim Hasan,26,79.0,Medium,Postgraduate,High,Yes,7,65.6,Medium,Yes,1,Low,Medium,Private,Negative,4,No,Moderate,Male,94.6
Nusrat Chowdhury,15,84.7,Medium,College,Medium,Yes,7,99.2,Medium,No,0,High,Low,Public,Negative,1,No,Far,Male,86.6
Sajib Islam,23,98.8,Low,Postgraduate,Medium,No,7,83.1,Low,No,0,Low,Medium,Private,Positive,4,Yes,Far,Male,87.9
Lamia Chowdhury,27,91.6,Medium,Postgraduate,Low,No,6,74.5,Medium,No,1,Low,Low,Public,Neutral,4,No,Moderate,Female,86.4
Arafat Ali,24,79.8,High,High School,Medium,No,9,81.5,Medium,Yes,2,High,Low,Private,Positive,3,No,Far,Male,94.0
Tanvir Hossain,26,81.1,High,Postgraduate,Medium,No,8,89.2,Medium,No,3,Medium,Low,Private,Negative,3,No,Near,Female,100.0
Nahid Siddique,26,74.6,Medium,Postgraduate,High,No,9,66.2,Low,Yes,1,High,Low,Public,Positive,6,Yes,Moderate,Female,83.0
Tanzim Siddique,28,93.3,Low,College,Medium,No,8,82.9,Low,No,1,Medium,Low,Public,Positive,3,No,Near,Male,99.3
Anika Akter,11,77.4,Low,College,High,Yes,8,83.7,High,Yes,1,Low,Low,Private,Negative,4,No,Near,Female,84.6
Arif Chowdhury,19,87.5,Medium,Postgraduate,Low,Yes,8,84.8,Low,No,3,Medium,Low,Private,Negative,7,No,Far,Male,83.0
Sabuj Shaikh,24,82.6,Low,College,High,Yes,9,74.1,Medium,No,2,High,Low,Private,Neutral,6,No,Near,Male,90.3
Laboni Alam,18,85.2,Low,Postgraduate,High,Yes,9,77.4,High,Yes,1,High,High,Private,Neutral,6,No,Moderate,Female,98.3
Rafi Bhuiyan,16,71.6,High,Postgraduate,Low,Yes,9,83.7,Medium,Yes,2,Medium,Low,Public,Negative,1,Yes,Moderate,Female,73.6
Fahim Siddique,14,91.3,Medium,Postgraduate,Low,Yes,7,89.6,Medium,No,3,Low,High,Private,Neutral,1,No,Moderate,Female,95.4
Nahid Shaikh,17,83.7,High,Postgraduate,Low,No,9,49.1,High,No,1,High,High,Public,Neutral,7,No,Far,Male,74.8
Farhana Ali,29,63.8,Medium,College,Low,Yes,8,91.0,Medium,No,1,Low,Medium,Private,Negative,7,No,Moderate,Female,83.6
Tanzim Ahmed,15,61.5,Low,College,Medium,No,7,58.4,High,Yes,0,Low,Medium,Private,Positive,4,No,Far,Male,69.5
Nahid Mia,24,80.2,High,Postgraduate,Medium,Yes,6,93.4,Medium,No,2,High,High,Public,Negative,6,No,Near,Female,100.0
Anika Rahman,17,66.1,High,High School,Low,No,7,68.2,Low,No,0,Medium,Low,Public,Positive,2,Yes,Far,Male,66.1
Lamia Ali,15,62.0,Medium,College,Low,No,9,55.4,Low,No,4,High,Medium,Private,Negative,6,No,Near,Male,64.2
Nahid Akter,18,70.9,Low,High School,Medium,No,7,86.5,Low,No,1,High,Medium,Public,Negative,2,No,Near,Male,84.4
Lamia Hossain,11,62.1,Low,Postgraduate,High,Yes,8,62.4,Medium,Yes,1,Low,Medium,Private,Negative,2,No,Moderate,Female,61.9
Sumaiya Ali,12,70.0,Low,Postgraduate,Low,Yes,6,76.9,Medium,No,2,Low,High,Public,Neutral,5,No,Moderate,Female,71.0
Rakib Alam,19,84.2,Low,College,High,Yes,6,76.8,High,No,2,Low,High,Private,Negative,6,No,Far,Female,91.8
Rafi Mia,9,92.0,Medium,Postgraduate,High,Yes,9,85.4,Medium,Yes,2,Medium,Low,Public,Positive,6,No,Moderate,Female,79.6
Nahid Mia,7,93.1,High,High School,Low,No,7,83.2,Medium,No,3,Low,High,Private,Neutral,2,No,Far,Male,72.3
Laboni Khan,24,86.1,Medium,College,Low,No,7,79.5,Low,Yes,2,Medium,Medium,Private,Negative,6,No,Near,Female,83.0
Tasnim Alam,13,100.0,Medium,College,Medium,Yes,5,74.6,High,No,0,High,Medium,Private,Neutral,2,Yes,Near,Female,82.4
Sadia Shaikh,24,81.3,Low,High School,Low,No,7,89.7,Medium,No,0,Low,Medium,Public,Positive,6,Yes,Near,Female,85.0
Arif Khan,13,80.3,Medium,College,Low,Yes,9,78.4,High,Yes,1,Medium,Low,Public,Neutral,6,No,Near,Female,75.4
Lamia Jahan,16,62.7,High,High School,High,Yes,7,98.5,High,No,2,High,Low,Private,Negative,6,No,Moderate,Male,93.3
Nusrat Chowdhury,26,70.3,Medium,Postgraduate,Low,No,7,79.0,Medium,No,0,Medium,Low,Public,Negative,1,No,Far,Male,82.6
Nahid Khan,13,73.7,Medium,Postgraduate,High,No,5,61.2,High,No,0,Low,Low,Public,Negative,4,No,Far,Female,68.9
Tanvir Islam,33,78.4,Low,College,Low,No,8,96.6,Low,No,0,High,Low,Public,Neutral,7,No,Near,Female,100.0
Sumaiya Mia,23,87.7,Medium,Postgraduate,High,Yes,9,75.1,Low,No,0,Medium,Medium,Public,Neutral,5,Yes,Moderate,Female,93.6
Sumaiya Hossain,31,90.2,Medium,College,High,Yes,8,76.2,Low,No,0,Medium,Medium,Private,Negative,5,No,Far,Male,100.0
Laboni Hossain,25,79.5,Medium,College,Medium,Yes,9,89.0,Low,No,0,Low,Medium,Private,Negative,1,Yes,Moderate,Male,99.9
Tanzim Siddique,26,78.8,Low,Postgraduate,Medium,No,5,89.5,Medium,No,1,Medium,Low,Private,Positive,6,No,Far,Male,95.8
Rakib Islam,9,90.3,Low,College,Low,No,6,65.5,Low,No,1,High,Medium,Private,Neutral,2,No,Moderate,Male,73.6
Arafat Mia,24,84.2,High,College,High,No,8,67.3,Low,Yes,0,Low,Medium,Public,Negative,6,No,Far,Female,80.5
Rafi Ali,20,59.0,High,Postgraduate,High,No,5,73.8,High,No,4,Medium,Medium,Private,Positive,2,No,Near,Male,82.9
Nusrat Ali,22,77.5,Low,Postgraduate,Low,Yes,8,98.5,Low,Yes,0,Medium,Low,Private,Positive,2,No,Near,Female,81.6
Fahim Chowdhury,17,78.6,Low,High School,Low,No,9,85.1,Low,Yes,3,Medium,High,Private,Neutral,7,No,Near,Female,85.7
Rafi Shaikh,14,86.0,Medium,High School,Low,No,9,59.9,High,No,0,Low,High,Private,Neutral,5,Yes,Moderate,Female,68.3
Nahid Alam,43,96.9,High,College,Low,No,8,55.1,High,Yes,3,Medium,Low,Public,Neutral,5,Yes,Moderate,Male,100.0
Tasnim Khan,14,94.1,High,College,Low,No,9,58.0,Low,No,1,Low,Medium,Public,Neutral,7,No,Far,Female,65.7
Rakib Islam,18,71.8,Medium,Postgraduate,High,Yes,6,76.5,Medium,Yes,0,Medium,Medium,Private,Neutral,2,No,Far,Female,91.2
Mahmud Islam,23,92.2,High,College,Low,Yes,6,76.4,Medium,Yes,2,Low,Medium,Private,Negative,2,No,Moderate,Female,89.2
Laboni Shaikh,36,68.4,Low,College,Medium,Yes,9,80.6,Low,No,0,Medium,High,Public,Negative,3,No,Moderate,Male,94.5
Sadia Ali,11,90.9,High,Postgraduate,High,No,9,75.6,High,Yes,0,Low,Low,Public,Neutral,1,No,Far,Male,88.9
Mehedi Akter,14,66.9,Low,High School,Medium,No,7,71.0,Low,No,1,High,High,Private,Positive,7,No,Near,Female,70.6
Sadia Hossain,8,89.2,Low,College,Medium,No,7,72.0,Low,Yes,0,Low,Low,Private,Neutral,6,No,Moderate,Female,67.3
Farhana Islam,28,100.0,High,College,Low,No,9,51.8,Low,No,1,Low,Medium,Private,Neutral,1,Yes,Near,Male,79.2
Arafat Rahman,28,94.7,Medium,College,Low,Yes,9,74.0,Medium,Yes,1,High,Low,Private,Negative,7,No,Moderate,Female,87.2
Anika Mia,22,93.1,High,College,Medium,No,7,59.8,Low,No,2,High,Medium,Public,Positive,7,No,Far,Female,86.3
Rafi Bhuiyan,17,72.5,Low,College,Low,Yes,9,80.1,Low,No,0,Low,High,Private,Neutral,3,No,Far,Female,71.5
Mehedi Shaikh,26,79.2,Low,Postgraduate,High,No,9,74.5,Medium,Yes,1,High,Low,Private,Positive,3,No,Moderate,Female,86.4
Nusrat Shaikh,19,72.8,High,High School,Medium,No,7,100.0,Medium,Yes,2,High,High,Public,Neutral,6,No,Moderate,Female,95.5
Lamia Akter,22,100.0,Low,Postgraduate,Medium,No,8,79.2,High,Yes,3,Medium,High,Public,Negative,7,Yes,Near,Male,100.0
Sumaiya Hossain,3,79.8,Low,High School,Medium,Yes,7,70.7,Low,No,0,High,Medium,Public,Neutral,5,Yes,Far,Female,65.7
Fahim Akter,13,81.2,Medium,College,High,Yes,6,91.3,Medium,Yes,4,Medium,High,Private,Negative,4,Yes,Near,Male,91.1
Fahim Shaikh,17,93.3,High,High School,High,Yes,5,80.9,Medium,No,0,High,Low,Private,Negative,3,No,Near,Male,88.5
Anika Rahman,15,84.5,Medium,College,Medium,No,8,90.8,Low,Yes,1,Medium,Low,Public,Positive,1,No,Near,Male,81.9
Nusrat Siddique,11,73.7,Medium,High School,Low,No,6,56.4,Medium,No,0,Medium,Medium,Private,Positive,5,Yes,Far,Male,51.4
Rakib Bhuiyan,15,55.5,Medium,Postgraduate,Medium,No,8,86.6,Low,No,2,Low,High,Private,Negative,6,Yes,Moderate,Male,80.7
Tanvir Akter,18,100.0,Low,High School,High,Yes,8,77.8,Low,Yes,0,Low,High,Private,Positive,5,No,Far,Male,100.0
Sabuj Hossain,23,99.5,High,Postgraduate,Low,No,8,83.9,Low,Yes,3,High,Medium,Public,Negative,7,No,Moderate,Male,99.0
Sabuj Rahman,10,82.7,Medium,High School,Medium,No,7,89.0,Low,Yes,2,Low,High,Private,Neutral,2,No,Far,Male,87.9
Mehedi Ahmed,16,76.2,Low,High School,Medium,No,5,78.2,Medium,Yes,4,Low,High,Public,Negative,3,No,Moderate,Female,87.5
Sadia Chowdhury,24,99.3,Medium,College,Medium,Yes,5,85.0,Low,No,1,High,Low,Public,Negative,3,Yes,Near,Female,98.9
Rakib Siddique,11,86.8,Medium,High School,Medium,No,8,99.3,Low,Yes,0,Low,Medium,Public,Negative,1,No,Moderate,Female,80.7
Laboni Jahan,14,69.9,Low,College,High,No,6,63.4,Low,Yes,1,Low,Low,Private,Positive,1,Yes,Far,Female,68.6
Tanzim Alam,20,92.8,Medium,College,High,Yes,7,61.3,Medium,No,3,Low,High,Private,Neutral,1,No,Far,Male,99.1
Rafi Mia,28,89.2,Low,High School,High,No,7,87.0,High,No,0,High,Medium,Private,Negative,2,No,Far,Female,99.5
Sajib Rahman,21,88.6,Low,College,High,Yes,8,57.5,Medium,No,0,Low,Low,Public,Positive,5,No,Far,Male,79.1
Fahim Bhuiyan,11,90.4,Medium,Postgraduate,Low,Yes,9,52.6,High,No,2,High,High,Public,Positive,3,No,Moderate,Female,74.7
Rafi Islam,24,89.5,High,High School,Low,Yes,6,64.2,Medium,Yes,0,High,Medium,Public,Neutral,1,No,Moderate,Female,83.0
Nahid Akter,12,99.2,Medium,Postgraduate,Low,No,8,67.6,Low,No,0,High,Medium,Private,Negative,1,No,Near,Male,72.3
Tanvir Hasan,22,63.2,High,College,Low,Yes,9,75.3,High,Yes,1,Low,Low,Public,Negative,6,No,Far,Male,75.6
Tanvir Jahan,25,78.5,High,High School,High,No,8,67.4,High,Yes,1,Medium,High,Private,Positive,3,No,Moderate,Female,96.9
Nusrat Akter,26,89.3,High,College,Medium,Yes,7,59.8,Medium,Yes,0,Medium,High,Public,Positive,1,Yes,Far,Female,87.3
Rafi Jahan,29,74.8,Medium,High School,High,No,7,48.6,Low,Yes,2,Low,High,Public,Positive,1,No,Near,Female,92.0
Nusrat Shaikh,24,97.9,Medium,College,Low,Yes,7,79.4,High,Yes,1,Medium,High,Private,Neutral,5,No,Moderate,Male,100.0
Farhana Hossain,27,86.0,High,Postgraduate,Medium,Yes,5,96.9,Low,Yes,4,Low,High,Private,Positive,7,No,Moderate,Female,100.0
Sadia Shaikh,17,100.0,Medium,High School,Medium,Yes,8,62.5,High,Yes,0,High,High,Private,Negative,1,No,Moderate,Female,92.7
Nahid Bhuiyan,25,83.9,Medium,High School,High,No,8,71.1,High,No,1,Medium,High,Public,Neutral,5,No,Moderate,Male,100.0
Sajib Hasan,25,92.6,Low,High School,Low,Yes,8,65.7,Low,Yes,1,High,High,Public,Positive,6,No,Moderate,Female,88.8
Nahid Khan,29,96.1,Low,High School,Low,No,7,81.8,Low,No,0,Medium,Low,Public,Neutral,5,No,Near,Female,94.3
Sajib Ahmed,35,82.0,Medium,High School,High,Yes,6,88.2,High,Yes,0,Medium,High,Public,Negative,7,No,Near,Male,100.0
Arafat Rahman,23,69.7,Low,Postgraduate,Medium,No,6,57.1,High,No,2,High,High,Private,Positive,1,No,Moderate,Female,84.3
Rakib Alam,35,75.6,Low,College,Low,Yes,7,69.3,Low,No,0,High,High,Public,Positive,7,No,Near,Female,93.4
Rafi Jahan,24,98.0,Medium,High School,Low,Yes,9,85.9,Medium,Yes,3,Low,Low,Public,Neutral,7,No,Moderate,Male,99.1
Tasnim Shaikh,20,88.7,Low,High School,Low,Yes,5,38.6,Medium,No,0,High,Low,Public,Neutral,2,No,Near,Male,65.8
Tanvir Alam,6,88.5,Low,High School,High,Yes,6,76.1,Low,No,1,Medium,Medium,Public,Neutral,5,No,Moderate,Female,77.5
Nahid Alam,16,80.2,Medium,Postgraduate,Low,Yes,6,73.0,Low,No,0,High,Low,Public,Negative,1,No,Moderate,Female,69.4
Nahid Hasan,27,85.1,Low,Postgraduate,Medium,No,8,78.6,Low,Yes,0,High,Medium,Public,Negative,7,Yes,Near,Male,94.4
Nahid Hossain,25,72.3,Low,Postgraduate,Medium,No,8,86.5,High,Yes,4,Medium,High,Private,Neutral,4,No,Far,Female,97.4
Tanvir Hasan,22,82.9,Medium,Postgraduate,High,Yes,8,90.7,High,No,0,Low,Low,Public,Negative,4,Yes,Near,Female,95.6
Lamia Islam,15,79.6,Medium,College,High,No,8,71.1,Low,No,0,Low,Low,Public,Neutral,4,No,Moderate,Female,74.2
Rakib Chowdhury,14,73.5,Medium,College,Medium,Yes,7,49.8,Medium,No,0,Low,Medium,Private,Negative,1,No,Far,Male,61.3
Anika Ali,17,79.1,High,Postgraduate,High,Yes,7,73.1,High,Yes,0,Low,Low,Private,Negative,2,No,Near,Male,84.8
Sajib Ahmed,15,94.6,Medium,Postgraduate,High,No,8,59.8,Medium,Yes,0,Medium,Low,Public,Positive,7,No,Moderate,Female,76.2
Lamia Bhuiyan,13,66.4,High,High School,Medium,Yes,9,67.6,High,Yes,0,High,High,Public,Neutral,5,No,Moderate,Male,71.2
Arif Bhuiyan,16,86.0,Medium,Postgraduate,Medium,No,7,86.3,Medium,No,0,Low,Low,Private,Negative,2,Yes,Moderate,Male,80.7
Lamia Ali,19,71.8,Low,College,High,Yes,7,82.0,Low,No,3,Medium,Medium,Private,Neutral,5,Yes,Far,Female,80.6
